"","sp1","sp2","sp3","sp4","sp5","sp6","sp7","sp8","sp9","sp10","sp11","sp12","sp13","sp14","sp15","sp16","sp17","sp18","sp19","sp20","sp21","sp22","sp23","sp24","sp25","sp26","sp27","sp28","sp29","sp30","sp31","sp32","sp33","sp34","sp35","sp36","sp37","sp38","sp39","sp40","sp41","sp42","sp43","sp44","sp45","sp46","sp47","sp48","sp49","sp50","sp51","sp52","sp53","sp54","sp55","sp56","sp57","sp58","sp59","sp60","sp61","sp62","sp63","sp64","sp65","sp66","sp67","sp68","sp69","sp70","sp71","sp72","sp73","sp74","sp75","sp76","sp77","sp78","sp79","sp80","sp81","sp82","sp83","sp84","sp85","sp86","sp87","sp88","sp89","sp90","sp91","sp92","sp93","sp94","sp95","sp96","sp97","sp98","sp99","sp100"
"1",0.0570388806674609,1.23465120110671e-05,3.36565141051051e-06,1.76276401951259e-05,7.04520755025415e-08,0.000106573384320374,1.37898452692781e-06,0.00879976575849967,0.0941289445050125,1.19466197715512e-11,3.34630602361726e-06,1.4671234470885e-06,1.28136865451845e-10,1.38628738535527e-08,0.000410133386297226,1.30076375650598e-06,3.50433835614531e-05,5.59401757268887e-12,0.00748455160798307,0.00181428555581107,3.26685597024511e-16,5.88822678674716e-05,5.35749206912399e-05,0.00955261286978272,8.58424964005434e-05,0.044880826229432,4.27707000697293e-07,0.00370973709764584,5.98816683770789e-06,0.0194330046505327,0.00160593539055584,9.73847661455708e-16,0.10542845182538,0.00142607607650161,0.000647346793797624,0.000106708363188257,1.6634716575037e-06,2.95512146490224e-07,7.49102256393938e-13,0.271490527979902,1.5023318726431e-07,0.00292089525734851,1.61511278723374e-05,1.52788363516719e-12,2.33498809102913e-16,5.50374670473915e-07,9.8514456836788e-13,0.000979763351432081,8.97202265368642e-09,8.18964455098901e-05,0.0814331818859179,6.35967374170273e-05,8.30297811409367e-06,1.5098816325636e-06,0.00462083866210354,3.3793111711785e-07,0.000105472320759061,0.000670164997750944,0.0200723950064166,0.00344926956131714,0.000621321555896138,0.000171748329155369,1.16285507027596e-07,0.0136722776303955,0.000105580599746532,3.08951416750951e-09,0.000239581926479307,0.0100614164201883,2.42784928507313e-119,1.87454882124477e-31,0.00144726346953564,0.000467756432691339,9.63026601679014e-26,4.94997295551251e-16,0.000572225133712135,1.935761479566e-05,0.0222867656779646,1.73657984901884e-05,1.81881181186393e-09,0.0144047151881683,0.128316498789762,7.35581329820462e-05,1.32713803822174e-05,1.54322854612529e-16,7.98104152017355e-06,2.73242329306775e-07,0.00807448257899301,1.50142566544977e-15,0.002052046866693,7.97821463866777e-13,3.71163201048516e-23,0.00734281220172444,0.00340118886656706,0.00811449041589835,8.27307682252573e-09,0.000731894042720648,0.0159354254414328,5.87762081305016e-10,0.00160810583071443,9.68926003186246e-10
"2",0.072832865414073,0.000122057772984336,3.45747147130985e-05,0.000142510636871477,8.61155803565518e-07,0.000138437561970604,6.19938238651574e-06,0.0130533298989051,0.117134726929028,8.60744076555902e-10,4.45577439854778e-05,1.34479243055109e-05,3.40185807174368e-08,2.07856992946936e-07,0.00213080940076269,1.0534549618031e-05,0.00222017989241091,6.51964975103283e-10,0.0642567336102756,0.0075421433481358,7.62043958336873e-14,0.000286368967827867,0.000449953179455214,0.0358376027655606,0.000156276149771906,0.086951680817259,4.76631407556481e-06,0.0184121650798889,1.53036898036855e-05,0.0325398684522334,0.0026737355657236,2.64939141266253e-13,0.16505779466278,0.0038750671313602,0.00442259863642532,0.00124897158182004,1.03129775982103e-05,6.58658115496816e-06,2.08343329963936e-11,0.51718662588019,9.3204254966387e-07,0.0153708007144682,0.000126551479578476,9.82218702205107e-10,6.50378313486295e-15,3.83212271865155e-06,4.58092447492632e-10,0.00206409497808018,3.38089117982202e-07,0.000255988826457819,0.146891144982522,0.000601943923439807,4.11214983568704e-05,7.07913082070464e-06,0.0206652145497221,2.11340919442423e-06,0.000491810487070032,0.0013105700212671,0.0469339665702466,0.0084793154603711,0.00311903722637026,0.000357664243285242,1.76479262273067e-06,0.0355400171751194,0.00144094876767271,4.19906218396581e-08,0.00153333590004182,0.0439783727539741,2.59125670558871e-98,1.30508829441289e-24,0.00244851955432898,0.00182436252958773,1.92706641526946e-20,4.31888605449839e-14,0.00114808863400689,0.000152556881153942,0.0715093939442015,7.90438136451248e-05,3.49439244825294e-08,0.0371649984638938,0.31063996866668,0.000125548170845062,0.000104642303277153,1.34107157693479e-13,4.70941287598105e-05,1.7171796880969e-06,0.0145739949148131,4.22292390216754e-13,0.00974727378628232,4.22175980072891e-11,9.73901821032297e-20,0.0106819908084282,0.0106759908474344,0.0396922640353334,3.1916551859607e-08,0.00346493778758267,0.0591205717133627,3.71778026546569e-09,0.00885870483671783,7.4399792145887e-08
"3",0.100516536830187,0.000393220841239139,0.000136489308345323,0.000388393141206176,4.20110985404193e-06,0.00020810806451386,1.64448460282995e-05,0.0143831696504496,0.169364786498483,2.74577661047023e-08,0.000315802227196664,4.18075172290358e-05,2.17010328629627e-06,1.02503036985663e-06,0.00460871636428133,2.86323423015304e-05,0.024804472973667,2.83204946959091e-08,0.190688081657902,0.0154714769710374,4.05037835608337e-12,0.000620624558032726,0.00133323651349244,0.0839451712132271,0.000188841521747229,0.159030856087466,2.95285293170783e-05,0.0507336806046584,3.5767780940273e-05,0.058725675953962,0.00353273543776186,2.24170146295223e-11,0.272244733416647,0.0061424040769358,0.0107923798452184,0.0077501611016941,3.61624277192974e-05,4.74230748184603e-05,1.764730707622e-10,0.610863234836965,2.08546656509377e-06,0.0457076041628743,0.000344528980502501,8.83764415804722e-08,8.0508905814395e-14,1.2346540084621e-05,3.14648303902702e-08,0.00287106049048868,3.91496313640086e-06,0.000433943746512001,0.250608995915074,0.00209152173571813,0.000107231053039009,1.9955412949344e-05,0.0524479525802219,7.80014759255351e-06,0.0011366341269431,0.00265816852543197,0.10436805078176,0.0151414458146239,0.0124014972821264,0.00068608241129719,8.92724292317387e-06,0.069549504315953,0.00980659262401316,2.99767337972961e-07,0.00354541634944153,0.0919337500729294,7.20172072289557e-82,1.58537553431194e-19,0.00304757006677569,0.00435194851956988,1.62823579411794e-16,1.63900181261216e-12,0.00227432865722394,0.000680878426697762,0.141484868308961,0.000213135537638468,2.23312895381818e-07,0.0775298233757253,0.45006410054557,0.000228297032174184,0.00045347497789752,3.11439220793985e-11,9.77442994290237e-05,6.31339044830285e-06,0.0180913449047197,2.44756528027928e-11,0.0237505922899541,9.82660884027587e-10,5.64012536784446e-17,0.0169313387922236,0.0170938521635142,0.0780760391451704,9.67172536492681e-08,0.00948317344814902,0.124239192944604,8.18483646231188e-09,0.0230194712701384,1.8441230266422e-06
"4",0.115880344117964,0.00136935290554523,0.000518689538259946,0.00109205044593105,2.07675580828717e-05,0.000261809972061506,3.53690381834695e-05,0.0157541613981239,0.200873675487299,9.0018315547673e-07,0.00199816982410022,0.000142169883073169,9.05711810136093e-05,5.65670891517368e-06,0.00611506477519147,7.79396958040557e-05,0.170886820243541,1.15018327152002e-06,0.405749021216833,0.0277404929008714,2.8381977570515e-10,0.00100985164894111,0.00426387246294333,0.151057833366728,0.000230435220868776,0.215992377051595,0.000170416579319991,0.111935022948718,6.93182289864869e-05,0.0846839766906677,0.00428785022124007,1.84363179582504e-09,0.357073907685591,0.0101934339213151,0.0270310757657538,0.0413348391933126,0.000107772581355429,0.000395621860304366,1.75348636971411e-09,0.678515600253938,4.85149493499142e-06,0.108825212669182,0.000982293858449553,7.46355205555399e-06,7.95441851403107e-13,4.06526523549193e-05,1.85181372368178e-06,0.00412719881107102,5.3819654126094e-05,0.000711632926234683,0.367855076015885,0.00774399413956372,0.000240287165370265,4.5715940838464e-05,0.107272220043215,2.45530697726164e-05,0.00271824233535265,0.00431084714127895,0.179994664493278,0.0193728262283108,0.0389424115576141,0.000928363316197742,4.94052525189387e-05,0.0819070869168263,0.0560344609788887,1.91602474718909e-06,0.00818497876322392,0.169305432199094,1.04339547016764e-64,2.23106098688615e-14,0.00350672300384904,0.00815045469193515,1.89937260832619e-12,6.45506184941134e-11,0.0034887174811731,0.00269318108921117,0.257166330092711,0.000463579296260546,1.69172897151637e-06,0.114397402067695,0.488653705858147,0.000340159785316412,0.00167969473987984,7.64618312084444e-09,0.00020922631195377,1.97565352367401e-05,0.0232064774220801,1.80702410435347e-09,0.0573705792740744,2.1731739394484e-08,3.88584319208016e-14,0.022130299020021,0.0279334214555081,0.14476102442014,2.40069405495462e-07,0.0208171486104842,0.208289167737613,1.81556060651546e-08,0.0574361722313211,2.64510462488237e-05
"5",0.141513637793047,0.00276923423282309,0.000882780050066435,0.00184780883231902,7.15176811922472e-05,0.000386278234006122,8.33007652975934e-05,0.0123046175641509,0.275959919345838,2.46558462991448e-05,0.0120724109380271,0.000296357538956249,0.00158376993330334,1.81414795563654e-05,0.00343408169831286,0.000125790146701072,0.274341350853655,3.30019741228796e-05,0.325953722742705,0.0431368961480595,8.87190043607052e-09,0.00076306007025586,0.00876378531081302,0.312644364634287,0.000182349940696382,0.283335826035855,0.00100379736621199,0.248892937623507,0.00014072687050612,0.135535225800405,0.00398097256991254,9.55348211484913e-08,0.499951038298543,0.0109713142108242,0.0438181309394672,0.141790170660266,0.000335937720172709,0.00187549245355954,9.2829483703687e-09,0.452493274149943,7.44118041504074e-06,0.267474091703313,0.00175642688096467,0.000174902335805914,6.0148520510409e-12,7.40104756020782e-05,2.8905242688175e-05,0.00393325873803504,0.000400957476545032,0.000648648229835685,0.516362071238539,0.0190170251204065,0.000517110924426673,0.000117451395143604,0.217606303748763,8.50873417360074e-05,0.00387992734299785,0.00760938734802466,0.312578544230836,0.0178199746450104,0.112911010293438,0.00118900108580274,0.000160199209766861,0.0738472212872038,0.192740653595206,1.15224989138404e-05,0.0115026288091526,0.156700481703723,1.44260880617861e-49,3.18156467769013e-10,0.00286775760961234,0.0172788026817189,3.62649507791628e-09,2.1165026431216e-09,0.00549901278376789,0.0111551968999846,0.298950733211484,0.00110853118472583,7.5900741484498e-06,0.141308632437685,0.30733744150215,0.000559480587708383,0.00621717212255803,1.16109880482938e-06,0.000286133882100866,6.71555746013752e-05,0.0201590134925889,5.39343158746587e-08,0.0773156753095169,3.85550594529376e-07,1.56149298091408e-11,0.0318541479193458,0.0298387447192158,0.193441285776661,5.92739282289925e-07,0.0486148740905329,0.359607919924483,2.51918884000419e-08,0.0739638444985303,0.000183872020012135
"6",0.124027921521499,0.00644713672061476,0.00151844942373096,0.0035880948445925,0.000196863232156822,0.00036978661207626,0.000117124449474251,0.0120974902931614,0.244248261807159,0.000223428634052221,0.0337283698026352,0.00071265652392048,0.00626277151726265,5.75831143786779e-05,0.0014510162515843,0.000226019278758198,0.262383554259755,0.000275650738525445,0.226806300634304,0.0601556641382742,1.56794137573618e-07,0.000521961159429655,0.0203256167461079,0.370447746914589,0.00018991667052208,0.217678212495224,0.0029411593067685,0.334851466727554,0.000170209648172534,0.127800117202455,0.00382280078750409,1.26886695565786e-06,0.435078635552038,0.0152051516113587,0.0821511736950173,0.293946506742695,0.000594835952365949,0.00793968230255117,4.34279508278718e-08,0.384868236002448,1.39120653287222e-05,0.3759283115583,0.00359734790994823,0.00168470423208961,1.66776803644491e-11,0.0001393099619941,0.000188441275055131,0.00476119624105575,0.00234043584424088,0.000717731554503734,0.536433624725672,0.0472109118112617,0.000792761627254189,0.000172765880755734,0.281055820647176,0.000159215491121069,0.00640193694400458,0.00768072182813287,0.303447656840884,0.0115120575391133,0.159341669103122,0.00083122791456748,0.000491598324730474,0.0339296296013593,0.393721265126907,3.2354842745981e-05,0.0189270000805107,0.154380318951036,2.19669817463514e-38,3.09711576958082e-07,0.00259555566765123,0.0216049315945999,1.19035741535519e-06,2.17977541571237e-08,0.00498126593241253,0.0246643564126058,0.343126901324458,0.00155276594386201,3.20737735130545e-05,0.100840305362726,0.177991169309749,0.000561338722022172,0.0122183519681784,3.4666567731926e-05,0.000497872549926073,0.000124397140744448,0.0228608899616326,8.9877180212304e-07,0.113460184680128,2.37548014950115e-06,1.05454415655558e-09,0.0297226138520853,0.0412816315079012,0.281178441880257,8.16894189673544e-07,0.0667397064452013,0.421470404523753,4.22369594852321e-08,0.102309389035088,0.000320056669270399
"7",0.0992865267134430,0.0127468162437367,0.00166644071820341,0.00585802827231797,0.000485067963082139,0.000345412854966621,0.00016674273681451,0.00981666533718784,0.205018071430415,0.00210249124911679,0.0916133366543769,0.00152434312788884,0.0121719745681289,0.000158304362121946,0.000258233486963219,0.000329563634510641,0.0787386360986623,0.00202597533103444,0.0711104921826913,0.0800851121987513,2.47116834934562e-06,0.000186678030586953,0.042832418464203,0.440857386162684,0.000156834944788426,0.132538770305414,0.00904333386502186,0.425616763650561,0.000191605901984797,0.109879581891617,0.00298911290815035,1.46155180248359e-05,0.335153016517807,0.0178042758563913,0.136166631269251,0.448542610270842,0.00105814021421753,0.0295733709943874,1.74128337885492e-07,0.234030416653084,2.37260507728189e-05,0.504076480048107,0.00644875098353019,0.00846361006766709,3.62247748237159e-11,0.000198435673957086,0.00057463049460454,0.00474561116479266,0.0120145566560925,0.000561819823655072,0.49522774623007,0.106692247410959,0.00119364020068263,0.000260716253070559,0.341540521408936,0.00030937739700444,0.00847030353680838,0.0070209498307151,0.249303188519017,0.00483322386888951,0.187113782978668,0.000437164231461126,0.00128859665378927,0.00911667962557511,0.560377936181368,8.77527259878009e-05,0.0257109151007901,0.0946635359954927,2.81321261243327e-27,0.000130008424149247,0.00183423085952428,0.0273604703827604,0.000236696426783371,2.35677701513812e-07,0.00384465588467334,0.056191872079293,0.291879135461478,0.00219406004605296,0.000124457771202087,0.0506782307122603,0.0606024674962325,0.000523310913937145,0.0233246597604522,0.000980785241993721,0.000772222063492764,0.000236970868371127,0.0215138637403102,1.22953685039192e-05,0.121801636793397,1.38023078720851e-05,7.3863972904851e-08,0.0257315951356169,0.0491467308146971,0.365885972499899,1.02132755350722e-06,0.0898381627547833,0.480563506737425,6.06049934416254e-08,0.0965845424111833,0.000261730955039082
"8",0.0608492460728992,0.0244056095636905,0.00141327547771744,0.00920624185787435,0.000958985456633047,0.000243397312726986,0.000176080299906377,0.00791884911025107,0.127282755461224,0.0107378653299519,0.156111057062445,0.00324072926865102,0.00698674984424888,0.000391699314841545,2.39201406974034e-05,0.000446143126978544,0.00937037107571907,0.00690067108939355,0.0131322815696501,0.0940974293505691,2.63081782408183e-05,4.34744588062782e-05,0.0896993607330929,0.379382265987572,0.000129525711391478,0.0514939288023596,0.0189171999824229,0.387786737895745,0.000151725275940906,0.065196194783182,0.00204558872782074,7.22727583510525e-05,0.180582426721515,0.0213911420619509,0.224391844427463,0.419328575854858,0.00134752516749949,0.0944999851365271,5.87778735023001e-07,0.132391338042981,4.21901286272e-05,0.473042455559557,0.0113578359121221,0.0181304778239699,3.87727612041059e-11,0.000242206973083616,0.00071068782876374,0.00473282555190219,0.0492617532239089,0.000396282106131333,0.350194469209851,0.22500702008614,0.00143466467215355,0.000287140053863599,0.305685131343229,0.000426039420361975,0.0105323825488431,0.00434209633896232,0.132008758030153,0.00127028886770013,0.130250890050938,0.000137283885567897,0.00294183838979067,0.00123092380575686,0.468725809015897,0.000149620838443621,0.0336916319037845,0.0454458624089307,2.34019062084563e-18,0.00797729864423381,0.00116006863131814,0.0256070475247015,0.0135575822066757,1.35253458534648e-06,0.00194912940334567,0.0896756605720929,0.203267564672382,0.00227167356421378,0.000436528752722651,0.0151204534277509,0.0142967193144862,0.000346678595752895,0.0301062127896016,0.0108308402668661,0.00126499473703798,0.000319436850975263,0.0206455815397839,0.000108068524749049,0.11308890943547,4.24121418984643e-05,1.94867523872964e-06,0.0163437749857793,0.0610745384162692,0.459929398694471,8.53363462510123e-07,0.0873189220342285,0.427577240020195,8.71737041303967e-08,0.0754428617247061,6.52167600979811e-05
"9",0.0561987183781722,0.0182301803190761,0.000404656230311998,0.00626285063509946,0.00116472429571945,0.000304511596956726,0.000301224879052971,0.00378576949359444,0.141948712452647,0.0554329481433281,0.348493961675397,0.00284689933551052,0.00297986900274508,0.000382986821839923,1.32132744055128e-06,0.000268261577942468,0.000299917159169976,0.0218421960214233,0.000969982276380832,0.105912606872336,7.35862270554936e-05,5.07219790314687e-06,0.0846312549676268,0.61283637033181,5.36534607926897e-05,0.0323158260362253,0.0526037891793771,0.517002807538372,0.000186607009617448,0.0692503822952771,0.00107191051765471,0.000278151585894935,0.163562596487761,0.0122169944314777,0.177231898044048,0.295125576114227,0.00250668278015878,0.114924530453894,6.83078531741155e-07,0.0371466142873951,3.57091659513413e-05,0.68281775296003,0.00899677656340486,0.00868053767776425,4.93322886275739e-11,0.000123375250988257,0.000205844976235734,0.00239248052421471,0.0727718905619435,0.000121465672137615,0.308691102367059,0.235512454681772,0.00206363474960842,0.000534395214261415,0.383274839770323,0.0009298932540275,0.00576978365118023,0.00470817445722212,0.114783609048708,0.000355470451706532,0.133331992851919,7.35343993786135e-05,0.00279929219235624,0.000260982369637893,0.27850851996359,0.000325377392859664,0.0201257281446218,0.00957279888874849,3.6089233638779e-12,0.0321113148696227,0.00049176166027689,0.0424639438113535,0.0634638861491642,7.82083336177044e-06,0.00166095691397731,0.203629259093675,0.0848250658885915,0.00387652946605998,0.000589499690070651,0.00635262031266373,0.00231607582497242,0.000391336928518638,0.0543346280015451,0.0874049750728802,0.00094174809936365,0.000670279182058889,0.0102791629312594,0.000227336947720395,0.0457549010002179,0.000135432775647083,3.10318914724299e-05,0.0172210914982761,0.0369288710972153,0.364505643747885,1.05648186939106e-06,0.134531518533231,0.556354769123224,5.78529194820029e-08,0.0240247342857706,1.68643413127531e-05
"10",0.0347447488910219,0.0146342125922878,8.76563712019162e-05,0.00440215590626,0.00119768201972702,0.000253413480346494,0.000359295071403138,0.00173201968283472,0.101345116566611,0.17895395751691,0.485319423786038,0.00279545317597902,0.000307121655514711,0.000383487612315185,2.54404172920863e-08,0.000156581520328467,2.69830204253901e-06,0.0345405645026899,3.23355209204672e-05,0.102692740520991,0.000191054501968836,3.0329885552107e-07,0.0885959688081821,0.64668909642837,2.17479899511777e-05,0.0104385780996801,0.102559594402266,0.454827578626739,0.000145083847266385,0.0434164077451112,0.000447892115093832,0.000521963844448363,0.0879915763871564,0.00740545133112825,0.149989739536915,0.117091467069557,0.00322000657539854,0.140719638938264,7.93649371987042e-07,0.00895999570241839,3.45402231092238e-05,0.635156733906126,0.00763034463173844,0.00188616385158866,2.8310549727097e-11,5.52515801778799e-05,2.37095365293461e-05,0.00121234078577695,0.103698279094151,3.20815135671268e-05,0.187463746953679,0.253352779000386,0.00231210800553288,0.000683079253151364,0.326849350644099,0.00139348949576748,0.00307544620351019,0.00296814089509965,0.0540888836196299,4.81044837247573e-05,0.0704024479832256,1.82412820484963e-05,0.00259201231634183,1.89898804207692e-05,0.0876043855529079,0.00044326787341994,0.0121046693496491,0.00141044763777793,4.75360565038408e-07,0.0302018980400945,0.000170414965674111,0.04790609527118,0.143876224884003,2.80298706124095e-05,0.000777900858881654,0.321638775896119,0.0267413481348233,0.00453391666681711,0.000859630395327894,0.00123261705335199,0.000201780697943757,0.000274067233848086,0.0637812036104164,0.34608802519237,0.000806867800754485,0.000961527725961739,0.00520292222743663,0.000411822315269942,0.0158082019687231,0.000245018405393299,0.000265023836009404,0.0116133159870451,0.0242395635886398,0.283854510304279,7.88196396176637e-07,0.13877280864774,0.52373435034477,4.08788685320167e-08,0.00610315383580894,9.56797197234556e-07
